year	question	paper_id	source_url	prize_label	review_scope	accessed
2025	A	A196	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025atlw/251101/2022729.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2025	B	B060	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025btlw/251101/2022733.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2025	B	B157	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025btlw/251107/2023197.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2025	C	C132	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025ctlw/251101/2022740.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2025	C	C023	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025ctlw/251101/2022736.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2025	D	D037	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025dtlw/251101/2022742.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2025	E	E030	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2025qgdxssxjmjslwzs_2025etlw/251101/2022744.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2024	A	A163	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024atlw/241104/1977935.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2024	A	A242	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024atlw/241104/1977939.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2024	A	A178	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024atlw/241104/1977937.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2024	A	A016	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024atlw/241104/1977931.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2024	A	A053	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024atlw/241104/1977933.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2024	B	B159	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024btlw/241104/1977943.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2024	B	B195	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024btlw/241104/1977945.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2024	B	B196	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024btlw/241104/1977950.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2024	C	C038	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024ctlw/241104/1977952.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2024	C	C234	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024ctlw/241104/1977963.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2024	C	C063	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024ctlw/241104/1977958.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2024	C	C094	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024ctlw/241104/1977961.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2024	D	D033	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024dtlw/241104/1977965.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2024	E	E010	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024etlw/241104/1977967.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2024	E	E218	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024etlw/241104/1977971.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
2024	E	E061	https://dxs.moe.gov.cn/zx/a/hd_sxjm_sxjmlw_2024qgdxssxjmjslwzs_2024etlw/241104/1977969.shtml	官方合作平台展示样本（奖项级别未统一标注）	abstract_reviewed	2026-08-17
